transaction_date,sales
2023-07-01,5827.448476992934
2023-07-02,5755.359574861538
2023-07-03,5676.523981724547
2023-07-04,5656.509491572902
2023-07-05,5363.855651808901
2023-07-06,5653.14132431078
2023-07-07,6369.43944596315
2023-07-08,6588.251589465902
2023-07-09,6496.798254414159
2023-07-10,6173.327718137485
2023-07-11,6107.168560084919
2023-07-12,6467.021940652704
2023-07-13,6566.63141764682
2023-07-14,6603.704010265127
2023-07-15,6680.5032862925
2023-07-16,6808.513202099221
2023-07-17,6732.768794412775
2023-07-18,6757.258335158294
2023-07-19,6736.572982989414
2023-07-20,6410.423394021737
2023-07-21,6446.926565950342
2023-07-22,6506.568300692898
2023-07-23,6525.135550710334
2023-07-24,6517.49430651023
2023-07-25,6617.469602424494
2023-07-26,6540.214334625351
2023-07-27,5844.5492336041
2023-07-28,4986.520903092608
2023-07-29,5503.422774687175
2023-07-30,6219.5097445128185
2023-07-31,6483.768763694683
2023-08-01,6401.1364323251455
2023-08-02,6311.081796173459
2023-08-03,6286.482546865916
2023-08-04,5959.025958911449
2023-08-05,6278.099103176662
2023-08-06,7070.999103224198
2023-08-07,7311.257724450878
2023-08-08,7207.169562847554
2023-08-09,6845.878926903651
2023-08-10,6770.104635319573
2023-08-11,7166.489355436096
2023-08-12,7274.321069621371
2023-08-13,7312.841524956093
2023-08-14,7395.329162067024
2023-08-15,7534.447161260651
2023-08-16,7448.084502411947
2023-08-17,7472.642401045822
2023-08-18,7447.259124391711
2023-08-19,7084.331996309871
2023-08-20,7122.30595029089
2023-08-21,7185.823789310226
2023-08-22,7203.967145153537
2023-08-23,7193.187801994227
2023-08-24,7301.165207145404
2023-08-25,7213.60907532826
2023-08-26,6444.258531410029
2023-08-27,5496.443792535304
2023-08-28,6064.292358142072
2023-08-29,6851.21185041956
2023-08-30,7140.089050396432
2023-08-31,7046.913289788755
2023-09-01,6945.639610622372
2023-09-02,6916.455602158932
2023-09-03,6554.196266013997
2023-09-04,6903.056882042544
2023-09-05,7772.558760485244
2023-09-06,8034.263859435853
2023-09-07,7917.540871280949
2023-09-08,7518.430135669816
2023-09-09,7433.040710554228
2023-09-10,7865.956770219487
2023-09-11,7982.0107215959215
2023-09-12,8021.979039647061
2023-09-13,8110.155037841549
2023-09-14,8260.38112042208
2023-09-15,8163.4002104111205
2023-09-16,8188.02646693335
2023-09-17,8157.945265794009
2023-09-18,7758.240598598003
2023-09-19,7797.68533463144
2023-09-20,7865.079277927554
2023-09-21,7882.798739596739
2023-09-22,7868.881297478223
2023-09-23,7984.860811866315
2023-09-24,7887.003816031168
2023-09-25,7043.967829215959
2023-09-26,6006.366681978
2023-09-27,6625.161941596971
2023-09-28,7482.913956326299
2023-09-29,7796.409337098181
2023-09-30,7692.690147252363
2023-10-01,7580.197425071286
2023-10-02,7546.428657451947
2023-10-03,7149.366573116546
2023-10-04,7528.014660908425
2023-10-05,8474.118417746293
2023-10-06,8757.269994420829
2023-10-07,8627.912179714347
2023-10-08,8190.981344435982
2023-10-09,8095.976785788884
2023-10-10,8565.424185002877
2023-10-11,8689.700373570473
2023-10-12,8731.116554338027
2023-10-13,8824.980913616075
2023-10-14,8986.31507958351
2023-10-15,8878.715918410293
2023-10-16,8903.410532820879
2023-10-17,8868.631407196306
2023-10-18,8432.149200886137
2023-10-19,8473.06471897199
2023-10-20,8544.334766544882
2023-10-21,8561.630334039943
2023-10-22,8544.57479296222
2023-10-23,8668.556416587226
2023-10-24,8560.398556734077
2023-10-25,7643.677127021889
2023-10-26,6516.289571420696
2023-10-27,7186.031525051869
2023-10-28,8114.61606223304
2023-10-29,8452.72962379993
2023-10-30,8338.46700471597
2023-10-31,8214.755239520198
2023-11-01,8176.401712744962
2023-11-02,7744.536880219094
2023-11-03,8152.972439774307
2023-11-04,9175.678075007341
2023-11-05,9480.276129405805
2023-11-06,9338.283488147743
2023-11-07,8863.532553202145
2023-11-08,8758.912861023538
2023-11-09,9264.891599786271
2023-11-10,9397.390025545024
2023-11-11,9440.254069028993
2023-11-12,9539.806789390599
2023-11-13,9712.249038744942
2023-11-14,9594.031626409465
2023-11-15,9618.794598708404
2023-11-16,9579.317548598603
2023-11-17,9106.05780317427
2023-11-18,9148.444103312539
2023-11-19,9223.590255162208
2023-11-20,9240.461928483144
2023-11-21,9220.268288446217
2023-11-22,9352.252021308135
2023-11-23,9233.793297436983
2023-11-24,8243.386424827817
2023-11-25,7026.212460863392
2023-11-26,7746.901108506767
2023-11-27,8746.31816813978
2023-11-28,9109.04991050168
2023-11-29,8984.24386217958
2023-11-30,8849.31305396911
2023-12-01,8806.374768037977
2023-12-02,8339.707187321643
2023-12-03,8777.93021864019
2023-12-04,9877.237732268388
2023-12-05,10203.28226439078
2023-12-06,10048.654796581139
2023-12-07,9536.083761968312
2023-12-08,9421.848936258193
2023-12-09,9964.35901456966
2023-12-10,10105.079677519576
2023-12-11,10149.39158371996
2023-12-12,10254.632665165123
2023-12-13,10438.182997906371
2023-12-14,10309.347334408638
2023-12-15,10334.178664595933
2023-12-16,10290.003690000902
2023-12-17,9779.9664054624
2023-12-18,9823.823487653088
2023-12-19,9902.845743779537
2023-12-20,9919.293522926348
2023-12-21,9895.961783930215
2023-12-22,10035.947626029047
2023-12-23,9907.188038139893
2023-12-24,8843.095722633747
2023-12-25,7536.135350306087
2023-12-26,8307.770691961667
2023-12-27,9378.02027404652
2023-12-28,9765.37019720343
2023-12-29,9630.02071964319
2023-12-30,9483.870868418024
2023-12-31,9436.347823330992
